Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees
070.01289;NEXANS;42859323000033;31 rue de l'industrie;59460;JEUMONT;NORD;NORD-PAS-DE-CALAIS;726701.42;2590885.68;2732Z;Fabrication d'autres fils et câbles électroniques ou électriques;2.(e).(ii);destinées à la fusion -  y compris l'alliage -  de métaux non ferreux et notamment de produits de récupération (affinage -  moulage en fonderie -  etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux;50.3004154364, 4.11177218967
052.00208;sarl vazeux;38905708400011;chauffour;24300;TEYJAT;DORDOGNE;AQUITAINE;465159;2474989.72;3832Z;Récupération de déchets triés;;;49.2583119557, 0.485442206375
061.03126;Société C B C;39944998200020;;38430;SAINT-JEAN-DE-MOIRANS;ISERE;RHONE-ALPES;854200;2043100;2561Z;Traitement et revêtement des métaux;;;45.3411889717, 5.58008750212
051.00864;VALNOR;41030116200245;CSD du Mont César;60930;BAILLEUL-SUR-THERAIN;OISE;PICARDIE;593800;2488100;3821Z;Traitement et élimination des déchets non dangereux;5.(d);Décharges -  à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes;49.3903368918, 2.25117486123
222.00012;COLAS MARTINIQUE;32939590900057;ZIP de la Pointe des Grives Boîte Postale 564;97200;Fort-de-France;MARTINIQUE;MARTINIQUE;707885.83576507;1617180.9995114;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;1.(e);Broyeurs à charbon d'une capacité d'une tonne heure;41.5533890835, 3.6247325832
072.01411;Heuliez Bus;31669699600032;parc économique de RORTHAIS;79700;MAULEON;DEUX-SEVRES;POITOU-CHARENTES;474561.39964841;2212436.4548123;2910Z;Construction de véhicules automobiles;;;46.9000018277, 0.690000005438
59273101;AQUANORD (SA);34805990800015;ZI des Huttes;59820;GRAVELINES;NORD;NORD-PAS-DE-CALAIS;585100;2665900;0321Z;Aquaculture en mer;;;50.9859194627, 2.12483468387
75200236;COSPEREC M.N;41162964500010;Le Cosquer;56320;PRIZIAC;MORBIHAN;BRETAGNE;171669;2355408;0147Z;Élevage de volailles;7.(a).(i);disposant de 40 000 emplacements pour la volaille;48.0567762587, -3.41394764032
058.00471;EMT COMPOSANTS;32299718000029;6 rue Lesage Maille;76320;CAUDEBEC-LES-ELBEUF;SEINE-MARITIME;HAUTE-NORMANDIE;504577;2476771;2932Z;Fabrication d'autres équipements automobiles;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3;49.2814375181, 1.02603186515
163.00165;IPAQ;31204524800035;;63290;PUY-GUILLAUME;PUY-DE-DOME;AUVERGNE;688211;2107263;372Z;Récupération de matières non métalliques recyclables;;;45.9598680509, 3.47451770411
