nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
WALTEFAUGLE,70198,Dampierre-sur-Salon,70180,Fabrication de structures métalliques et de parties de structures,,
LUFKIN FRANCE,70245,Fougerolles,70220,Fabrication d'engrenages et d'organes mécaniques de transmission,,
DELAGRAVE,70258,Froideconche,70300,Fabrication de meubles de bureau et de magasin,,
LISI Automotive Former site de Mélisey,70339,Mélisey,70270,Fabrication de vis et de boulons,,
HONEYWELL SAFETY PRODUCTS PLANCHER BAS,70413,Plancher-Bas,70290,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,
PYLE INDUSTRIES,70489,Servance,70440,"Forge, estampage, matriçage ,  métallurgie des poudres",,
CEB - Usine des Prés,90009,Beaucourt,90500,"Fabrication de moteurs, génératrices et transformateurs électriques",,
NIPSON TECHNOLOGY,90010,Belfort,90000,Fabrication de machines d'imprimerie,,
GEEPEF,90017,Bourogne,90140,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",,
HENDRICKSON France,90022,Châtenois-les-Forges,90700,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,
VMC PECHE,90072,Morvillars,90120,Fabrication d'articles de sport,,
REYDEL AUTOMOTIVE - Unité 2,90088,Rougegoutte,90200,Fabrication de pièces techniques à base de matières plastiques,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
GEEPE site des 3 chênes,90010,Belfort,90000,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",,
XPO TANK CLEANING SUD FRANCE,39189,Damparis,39500,Autres activités de nettoyage n.c.a.,,
DIAGER INDUSTRIE,39434,Poligny,39800,Fabrication d'autres outillages,,
GDE Evans,39219,Évans,39700,Démantèlement d'épaves,,
VON ROLL France (Fils de bobinages),90033,Delle,90100,Fabrication d'autres fils et câbles électroniques ou électriques,,
FUJI AUTOTECH FRANCE,25580,Valentigney,25708,Fabrication d'autres équipements automobiles,,
ATI,19203,Sainte-Fortunade,19490,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
PANNEAUX DE CORREZE,19275,Ussel,19204,Fabrication de placage et de panneaux de bois,,
MECABRIVE INDUSTRIES,19031,Brive-la-Gaillarde,19100,Mécanique industrielle,,
NCI ENVIRONNEMENT,19031,Brive-la-Gaillarde,19100,Collecte des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
COVIMAG,19031,Brive-la-Gaillarde,19101,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication,,
UIOM de BRIVE,19229,Saint-Pantaléon-de-Larche,19600,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
ISDND,23143,Noth,23300,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
ELECTRICFIL AUTOMOTIVE,01249,Miribel,01708,Fabrication d'équipements électriques et électroniques automobiles,,
BRESSOR S.A. (site de Grieges),01179,Grièges,01290,Fabrication de fromage,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
CIPAB,01203,Laiz,01290,Fabrication de machines pour l'industrie agro-alimentaire,,
Centre de Stockage de Déchets Ultimes du Marais,38064,Cessieu,38110,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
GE FRANCE Etb Grenoble,38185,Grenoble,38041,"Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules",,
ARC EN CIEL RECYCLAGE,38194,Izeaux,38140,Récupération de déchets triés,,
CHIMIMECA SAS,38239,Moirans,38430,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
CANDIA,38544,Vienne,38205,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
C-TEC Constellium Technology Center,38565,Voreppe,38341,Recherche-développement en autres sciences physiques et naturelles,,
MOB Outillage,42044,Le Chambon-Feugerolles,42502,Fabrication d'autres outillages,,
"Ugitech Site de Saint Etienne, exUGITECH PRECISIONEUROTHAL (EX.EUROCROM (EX.TRAITEMENTS T",42218,Saint-Étienne,42100,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
LAVARHONE,69273,Corbas,69960,Autres activités de nettoyage n.c.a.,,
BAYARD,69282,Meyzieu,69881,Fabrication d'autres articles de robinetterie,,
MAYET,69290,Saint-Priest,69800,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
GALYS/SASCA,69299,Colombier-Saugnieu,69125,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques",,
THERMI-LYON,69123,Lyon,69007,Traitement et revêtement des métaux,,
Dépôt Pétrolier de Lyon,69123,Lyon,69007,Entreposage et stockage non frigorifique,,
Thevenin & Ducrot Distribution,73010,Albens,73410,Commerces de détail de charbons et combustibles,,
polichrome,74133,Gaillard,74240,Traitement et revêtement des métaux,,
TREFILERIE PERILLAT,74164,Marignier,74970,étirage à froid de barres,,
ALPEN-TECH - USINE1 et USINE 2,74312,Vougy,74130,Décolletage,,
LABORATOIRE MERIEL,42218,Saint-Étienne,42100,Fabrication de pesticides et d'autres produits agrochimiques,,
CHAINES ET ROUES DENTEES RAFER,42207,Saint-Chamond,42402,Fabrication d'engrenages et d'organes mécaniques de transmission,,
SUEZ ORGANIQUE Usine Inveko,42277,Saint-Priest-la-Roche,42590,Traitement et élimination des déchets non dangereux,,
RACINE - site de TERNAY,69297,Ternay,69360,Services d'aménagement paysager,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
BODYCOTE,69271,Chassieu,69680,Traitement et revêtement des métaux,,
CHIMIREC EST,54163,Domjevin,54450,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
TSM,54395,Nancy,54000,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
BLG TOUL,54528,Toul,54200,Autre imprimerie (labeur),,
EUROSTAMP SAS,54575,Villers-la-Montagne,54920,"Découpage, emboutissage",,
SCORI EST,55158,Dommary-Baroncourt,55240,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
ESSILOR Usine des Battants,55291,Ligny-en-Barrois,55500,Fabrication de lunettes,,
SARAYA EUROPE,55543,Velaines,55500,Activités de conditionnement,,
LES BRONZES D'INDUSTRIES,57019,Amnéville,57360,Fonderie d'autres métaux non ferreux,2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
SCORI EST,57019,Amnéville,57360,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
IPL,57160,Creutzwald,57150,Traitement et revêtement des métaux,,
NORD CHROME,57221,Florange,57192,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
LEMFORDER METAL FRANCE,57221,Florange,57192,Fabrication d'autres équipements automobiles,,
NEOLOR,57221,Florange,57190,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
FONDERIE LORRAINE,57631,Sarreguemines,57214,Fonderie de métaux légers,2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
PIERBURG PUMP TECHNOLOGY FRANCE,57287,Basse-Ham,57970,Fabrication d'autres pompes et compresseurs,,
GRUNDFOS,57413,Longeville-lès-Saint-Avold,57740,Fabrication d'autres pompes et compresseurs,,
France Transfo,57443,Marange-Silvange,57535,"Fabrication de moteurs, génératrices et transformateurs électriques",,
FRANCE GALVA LORRAINE,57483,Morhange,57340,Traitement et revêtement des métaux,2.(c).(iii),par application de couches protectrices de métal en fusion avec une capacité de traitement de 2 tonnes d'acier brut par heure
REHAU INDUSTRIE,57483,Morhange,57340,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",,
LUDMANN,57505,Niderviller,57565,Fabrication de serrures et de ferrures,,
ONDAL France,57631,Sarreguemines,57200,Fabrication de parfums et de produits pour la toilette,4.(a).(xi),tensioactifs et agents de surface
SOFRAGRAF,88486,Vagney,88125,Fabrication d'autres articles métalliques,,
GANTOIS INDUSTRIES SAS,88413,Saint-Dié,88100,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",,
RESOLEST,54462,Rosières-aux-Salines,54110,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
ELYSEES COSMETIQUES,57227,Forbach,57601,Fabrication de parfums et de produits pour la toilette,,
ETABLISSEMENTS GEYER FRERES,57494,Munster,57670,Production de boissons rafraîchissantes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
AHC Surface Technology SAS,57209,Faulquemont,57380,Traitement et revêtement des métaux,,
LEGRAND FRANCE LORRAINE,54431,Pont-à-Mousson,54700,Fabrication de matériel d'installation électrique,,
GE Energie - Power Conversion,54115,Champigneulles,54250,"Fabrication de moteurs, génératrices et transformateurs électriques",,
Technicentre Lorraine UO Metz - site de Sablon,57463,Metz,57000,Réparation et maintenance d'autres équipements de transport,,
Régie municipal d'électricité,57160,Creutzwald,57150,Commerce d'électricité,,
LEMER Fonderie,44026,Carquefou,44470,Fabrication d'autres articles métalliques,2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
Gruau Laval,53201,Saint-Berthevin,53942,Fabrication de carrosseries et remorques,,
SNV,53014,Azé,53200,Transformation et conservation de la viande de volaille,,
ARRIVE - Site Les Essarts,85084,Les Essarts,85140,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
S.A.S NORD CHROME,44074,Indre,44610,Traitement et revêtement des métaux,,
ANMDS,44041,La Chevrolière,44118,Traitement et revêtement des métaux,,
SONEL,49233,Nyoiseau,49500,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SOCOPA Viandes,85191,La Roche-sur-Yon,85015,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
MCV site de SEGRIE,72332,Ségrie,72170,Traitement et élimination des déchets non dangereux,,
SAS SARA,53084,Craon,53400,Transformation et conservation de la viande de volaille,,
DOUX SA,85051,Chantonnay,85110,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
DELPEYRAT Site de La Pommeraie sur Sèvre,85180,La Pommeraie-sur-Sèvre,85700,Préparation industrielle de produits à base de viande,,
EURALIS GASTRONOMIE - Les Herbiers,85109,Les Herbiers,85500,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
BRANGEON SERVICES,49243,La Poitevinière,49510,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
TIPIAK épicerie,44150,Saint-Aignan-Grandlieu,44860,Autres activités du travail des grains,,
REAMETAL,53025,Bazougers,53170,"Découpage, emboutissage",,
ARRIVE S A S -ST FULGENT,85215,Saint-Fulgent,85250,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
VALEO ECLAIRAGE SIGNALISATION,49129,Écouflant,49000,Fabrication d'appareils d'éclairage électrique,,
CAP - Atlantique,44072,Herbignac,44410,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
GDE Le Mans,72181,Le Mans,72100,Récupération de déchets triés,,
MERAL,72013,Aubigné-Racan,72800,Fabrication de sièges d'ameublement d'intérieur,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Hg industries,72381,Voivres-lès-le-Mans,72210,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
SMTR CALBERSON - BECQUEREL,72181,Le Mans,72028,"Messagerie, fret express",,
GLAXO WELLCOME PRODUCTION,53147,Mayenne,53101,Fabrication de produits pharmaceutiques de base,,
PEINTURE FINITION INDUSTRIELLE,49212,Montjean-sur-Loire,49570,Traitement et revêtement des métaux,,
SAS DUFEU,49173,Lasse,49490,Récupération de déchets triés,,
BURGAUD,85226,Saint-Hilaire-de-Riez,85270,Fabrication de serrures et de ferrures,,
SYCTOM du Loire Béconnais,49183,Le Louroux-Béconnais,49370,Collecte des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
A.I.M.M.,53054,Changé,53810,"Découpage, emboutissage",,
SAVED,49228,Noyant,49490,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
GUY DAUPHIN ENVIRONNEMENT (GDE Montoir),44103,Montoir-de-Bretagne,44550,Récupération de déchets triés,,
GUY DAUPHIN ENVIRONNEMENT (GDE Nantes),44109,Nantes,44300,Récupération de déchets triés,,
Plastic Omnium Auto Inergy France,53130,Laval,53032,Fabrication d'emballages en matières plastiques,,
GIRARDEAU,85257,Saint-Michel-Mont-Mercure,85700,Fabrication d'autres meubles et industries connexes de l'ameublement,,
SYNDICAT MIXTE CENTRE NORD ATLANTIQUE,44208,Treffieux,44170,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
LINPAC Packaging Dalidet,53017,Ballée,53340,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",,
GUY DAUPHIN ENVIRONNEMENT (GDE St Herblain),44162,Saint-Herblain,44800,Récupération de déchets triés,,
TENNECO AUTOMOTIVE,53201,Saint-Berthevin,53941,Fabrication d'autres équipements automobiles,,
SECHE ECO INDUSTRIES site : la Cousinière,53054,Changé,53811,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
Communauté de Communes de la Vallée du Haut Anjou,49176,Le Lion-d'Angers,49220,Administration publique générale,5.(g),"Installations autonomes de traitement des eaux industrielles usées provenant d'une ou de plusieurs des activités énumérées dans la présente annexe d'une capacité de 10 000 m3 par jour "
USINE DE COMPOSTAGE FERTILOIRE,44212,Vallet,44330,Traitement et élimination des déchets non dangereux,,
FERTIVENDEE,85287,Tallud-Sainte-Gemme,85390,Traitement et élimination des déchets non dangereux,,
DISTILLERIE LA VAROISE,83047,La Crau,83260,Production de boissons alcooliques distillées,,
AEROPORT CANNES MANDELIEU,06029,Cannes,06150,Services auxiliaires des transports aériens,,
GALVA MED,13076,Plan-d'Orgon,13750,Traitement et revêtement des métaux,2.(c).(iii),par application de couches protectrices de métal en fusion avec une capacité de traitement de 2 tonnes d'acier brut par heure
ORTEC INDUSTRIE / VALORTEC,13081,Rognac,13340,Collecte des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Aptunion site de Gargas,84047,Gargas,84000,"Fabrication de cacao, chocolat et de produits de confiserie",,
AUTO-CHOC,06027,Cagnes-sur-Mer,06800,Commerce de détail d'équipements automobiles,,
BERKLEY PEINTURES,06033,Carros,06515,Traitement et revêtement des métaux,,
ISDND BALANCAN,83031,Le Cannet-des-Maures,83340,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
I.S.D.N.D des Lauriers,83061,Fréjus,83600,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
INITIAL,77053,Brie-Comte-Robert,77170,Blanchisserie-teinturerie de détail,,
PROCHROME,77053,Brie-Comte-Robert,77170,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Routière de l'Est Parisien (ISDND de Claye Souilly),77118,Claye-Souilly,77410,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
KERBIRIO,77215,Gretz-Armainvilliers,77220,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
UNIVAR,77251,Lieusaint,77127,Commerce de gros (commerce interentreprises) de produits chimiques,,
ROTOFRANCE IMPRESSION,77258,Lognes,77185,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
TECHNOS RESINES SERVICES,77294,Mitry-Mory,77290,Réparation de machines et équipements mécaniques,,
BASF FRANCE SAS - Division Performance Materials,77294,Mitry-Mory,77290,Fabrication de matières plastiques de base,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
QUARON,77305,Montereau-Fault-Yonne,77130,Commerce de gros (commerce interentreprises) de produits chimiques,,
REVETECH,77317,Mormant,77720,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
STEN,77350,Ozoir-la-Ferrière,77330,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
ARMABESSAIRE,77373,Pontault-Combault,77340,Récupération de déchets triés,,
FLOHE FOUILLERET SAS,77418,Saint-Loup-de-Naud,77650,Fabrication de matériel de distribution et de commande électrique,,
VERMILION REP St Méry,77426,Saint-Méry,77720,Extraction de pétrole brut,,
PEREZ LOGISTIQUE,77437,Saint-Soupplets,77165,Autres activités de nettoyage n.c.a.,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
COSMEVA,77445,Savigny-le-Temple,77545,Fabrication de parfums et de produits pour la toilette,4.(a).(xi),tensioactifs et agents de surface
CFGV Cie Française des Grands Vins,77470,Tournan-en-Brie,77220,Fabrication de vins effervescents,,
GE Medical Systems,78117,Buc,78530,Fabrication d'autres matériels électriques,,
SATEC,78361,Mantes-la-Jolie,78200,Traitement et revêtement des métaux,,
HYPER TECHNOLOGIES,78165,Les Clayes-sous-Bois,78340,Fabrication de composants électroniques,,
TOTAL RAFFINAGE FRANCE,78267,Gargenville,78440,Raffinage du pétrole,,
AIR LIQUIDE (USINE),78335,Limay,78520,Fabrication de gaz industriels,4.(a).(i),"hydrocarbures simples (linéaires ou cycliques, saturés ou insaturés, aliphatiques ou aromatiques)"
BUFFET CRAMPON,78362,Mantes-la-Ville,78711,Fabrication d'instruments de musique,,
LINDE FRANCE,78501,Porcheville,78440,Fabrication de préparations pharmaceutiques,,
IDVU (ex CREOS),78683,Villiers-Saint-Fréderic,78640,"Ingénierie, études techniques",,
SCHUTZ France,91363,Marcoussis,91460,Fabrication d'emballages en matières plastiques,,
SUEZ RV OSIS IDF,91421,Montgeron,91230,Collecte et traitement des eaux usées,,
BAYER SEEDGROWTH COATINGS,91390,Méréville,91660,Fabrication de pesticides et d'autres produits agrochimiques,4.(d),Installations chimiques destinées à la fabrication industrielle de produits phytosanitaires et de biocides
Eau du Sud Parisien ESP,91435,Morsang-sur-Seine,91250,"Captage, traitement et distribution d'eau",,
VERNET,91461,Ollainville,91340,Fabrication d'instrumentation scientifique et technique,,
ARIANE GROUP,91649,Vert-le-Petit,91710,Recherche-développement en autres sciences physiques et naturelles,,
DECAP 91,91685,Villiers-sur-Orge,91700,Traitement et revêtement des métaux,,
JR,95018,Argenteuil,95100,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
STEG TECHNIQUE ETUDE GESTION,95018,Argenteuil,95100,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
METAUX 116 SOREVO ENVIRONNEMENT,95060,Bessancourt,95550,Récupération de déchets triés,,
ELIS Bezons Santé,95063,Bezons,95870,Location et location-bail d'autres biens personnels et domestiques,,
JOINT FRANCAIS (Le),95063,Bezons,95870,Fabrication d'autres articles en caoutchouc,,
SMCA Manutention Carburant Aviation,95154,Chennevières-lès-Louvres,95380,Entreposage et stockage non frigorifique,,
SOS ELECTRONIC ENGINEERING,95177,Cormeilles-en-Vexin,95830,Fabrication de cartes électroniques assemblées,,
MULTIMETAL,95394,Méry-sur-Oise,95540,Récupération de déchets triés,,
HUTCHINSON - Persan,95487,Persan,95340,Fabrication d'autres articles en caoutchouc,,
MECACHIMIQUE,95488,Pierrelaye,95480,"Découpage, emboutissage",,
COGETRAD INDUSTRIES,95572,Saint-Ouen-l'Aumône,95310,Traitement et élimination des déchets dangereux,,
TAKASAGO E.P.L.,95572,Saint-Ouen-l'Aumône,95310,Fabrication d'huiles essentielles,,
RENK France,95572,Saint-Ouen-l'Aumône,95310,Fabrication d'engrenages et d'organes mécaniques de transmission,,
HAUGUEL (Distillerie),95572,Saint-Ouen-l'Aumône,95310,Fabrication d'autres produits chimiques organiques de base,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
BLANC AERO (ex SAINT CHAMOND GRANAT),95572,Saint-Ouen-l'Aumône,95310,Fabrication de vis et de boulons,,
TSM-TRAITEMENTS SURFACE MECANIQUE,95592,Seraincourt,95450,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SEGO,95607,Taverny,95150,Autre imprimerie (labeur),9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
HUCK SAS,95625,Us,95450,Fabrication de vis et de boulons,,
Ateliers de Choisy,75056,Paris,75013,Transports urbains et suburbains de voyageurs,,
RATP,75056,Paris,75889,Transports urbains et suburbains de voyageurs,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
MERSEN FRANCE GENNEVILLIERS,92036,Gennevilliers,92231,Fabrication d'autres produits minéraux non métalliques n.c.a.,9.(d),Installations destinées à la fabrication de carbone (charbon dur) ou d'électrographite par combustion ou graphitisation
AIRBUS GROUP,92073,Suresnes,92150,Activités des sièges sociaux,,
UNIVAR,92078,Villeneuve-la-Garenne,92390,Commerce de gros (commerce interentreprises) de produits chimiques,,
